1,0,766780
2,0,766780
3,0,766780
4,0,766780
5,0,766780
6,1,766780
7,0,766780
8,0,766780
1,0,766781
2,0,766781
3,0,766781
4,1,766781
5,1,766781
6,0,766781
7,0,766781
8,1,766781
1,0,766813
2,1,766813
3,0,766813
4,1,766813
5,0,766813
6,1,766813
7,1,766813
8,1,766813
1,0,766804
2,0,766804
3,0,766804
4,1,766804
5,0,766804
6,0,766804
7,0,766804
8,0,766804
1,0,766795
2,0,766795
3,0,766795
4,1,766795
5,0,766795
6,0,766795
7,0,766795
8,0,766795
1,0,766807
2,0,766807
3,0,766807
4,0,766807
5,0,766807
6,1,766807
7,0,766807
8,1,766807
1,0,766782
2,0,766782
3,0,766782
4,0,766782
5,0,766782
6,0,766782
7,0,766782
8,0,766782
1,1,submissions/desktop.ini
2,1,submissions/desktop.ini
3,1,submissions/desktop.ini
4,1,submissions/desktop.ini
5,1,submissions/desktop.ini
6,1,submissions/desktop.ini
7,1,submissions/desktop.ini
8,1,submissions/desktop.ini
1,0,766784
2,0,766784
3,0,766784
4,1,766784
5,1,766784
6,0,766784
7,1,766784
8,0,766784
1,0,766786
2,0,766786
3,0,766786
4,1,766786
5,0,766786
6,0,766786
7,0,766786
8,0,766786
1,0,766809
2,0,766809
3,0,766809
4,1,766809
5,0,766809
6,1,766809
7,0,766809
8,0,766809
1,0,766811
2,1,766811
3,0,766811
4,0,766811
5,0,766811
6,0,766811
7,0,766811
8,0,766811
1,0,766793
2,0,766793
3,0,766793
4,0,766793
5,1,766793
6,0,766793
7,0,766793
8,1,766793
1,0,766796
2,0,766796
3,0,766796
4,0,766796
5,0,766796
6,0,766796
7,0,766796
8,0,766796
1,0,766790
2,0,766790
3,0,766790
4,1,766790
5,0,766790
6,1,766790
7,0,766790
8,0,766790
1,0,766788
2,0,766788
3,0,766788
4,1,766788
5,0,766788
6,0,766788
7,0,766788
8,0,766788
1,0,766803
2,0,766803
3,0,766803
4,1,766803
5,0,766803
6,0,766803
7,1,766803
8,0,766803
1,0,766783
2,0,766783
3,0,766783
4,1,766783
5,0,766783
6,0,766783
7,0,766783
8,0,766783
1,0,766805
2,0,766805
3,0,766805
4,1,766805
5,1,766805
6,0,766805
7,0,766805
8,1,766805
1,0,766779
2,0,766779
3,0,766779
4,1,766779
5,1,766779
6,1,766779
7,1,766779
8,1,766779
1,0,766802
2,0,766802
3,0,766802
4,1,766802
5,0,766802
6,0,766802
7,0,766802
8,0,766802
1,0,766814
2,0,766814
3,0,766814
4,1,766814
5,0,766814
6,0,766814
7,0,766814
8,0,766814
1,0,766789
2,0,766789
3,0,766789
4,1,766789
5,0,766789
6,0,766789
7,0,766789
8,0,766789
1,0,766800
2,0,766800
3,1,766800
4,1,766800
5,1,766800
6,1,766800
7,1,766800
8,1,766800
1,1,766815
2,1,766815
3,0,766815
4,1,766815
5,1,766815
6,1,766815
7,1,766815
8,1,766815
1,0,766799
2,0,766799
3,1,766799
4,1,766799
5,1,766799
6,1,766799
7,1,766799
8,1,766799
1,0,766816
2,0,766816
3,0,766816
4,1,766816
5,0,766816
6,0,766816
7,0,766816
8,0,766816
1,0,766791
2,0,766791
3,0,766791
4,1,766791
5,1,766791
6,0,766791
7,0,766791
8,0,766791
1,0,766792
2,0,766792
3,0,766792
4,1,766792
5,1,766792
6,0,766792
7,1,766792
8,1,766792
1,0,766778
2,0,766778
3,0,766778
4,0,766778
5,0,766778
6,0,766778
7,0,766778
8,1,766778
1,0,766777
2,0,766777
3,0,766777
4,0,766777
5,0,766777
6,0,766777
7,0,766777
8,0,766777
1,0,766797
2,0,766797
3,0,766797
4,1,766797
5,0,766797
6,0,766797
7,0,766797
8,0,766797
1,0,766785
2,0,766785
3,0,766785
4,1,766785
5,0,766785
6,1,766785
7,1,766785
8,1,766785
1,1,766801
2,1,766801
3,1,766801
4,1,766801
5,1,766801
6,1,766801
7,1,766801
8,1,766801
1,0,766812
2,0,766812
3,0,766812
4,0,766812
5,0,766812
6,0,766812
7,1,766812
8,1,766812
1,0,766798
2,0,766798
3,0,766798
4,1,766798
5,0,766798
6,1,766798
7,0,766798
8,1,766798
1,0,766787
2,0,766787
3,0,766787
4,0,766787
5,0,766787
6,0,766787
7,0,766787
8,1,766787
1,0,766808
2,0,766808
3,0,766808
4,1,766808
5,0,766808
6,0,766808
7,0,766808
8,1,766808
1,0,766794
2,0,766794
3,0,766794
4,0,766794
5,0,766794
6,0,766794
7,0,766794
8,0,766794
